2020-09-28 14:32:07,498|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/cuu-giam-doc-imex-tra-vinh-bi-de-nghi-30-nam-tu-4167433.html
2020-09-28 14:32:07,592|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/thanh-nien-van-chuyen-hong-phien-bi-phat-tu-hinh-4167326.html
2020-09-28 14:32:07,623|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/lieu-huawei-se-thach-thuc-tesla-4167951.html
2020-09-28 14:32:07,671|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/becamex-vsip-trien-khai-khu-cong-nghiep-hon-5-000-ty-tai-binh-dinh-4165405.html
2020-09-28 14:32:07,733|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/ngan-hang-dua-lam-dinh-danh-dien-tu-4167639.html
2020-09-28 14:32:07,767|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/7-chien-luoc-de-ra-quyet-dinh-nhom-tot-hon-4168062.html
2020-09-28 14:32:07,798|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/ly-do-nhieu-ty-phu-my-cang-giau-them-nho-covid-19-4167826.html
2020-09-28 14:32:07,970|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/gia-thue-van-phong-cao-nhat-66-usd-moi-m2-4167947.html
2020-09-28 14:32:08,001|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/my-co-the-trung-phat-hang-san-xuat-chip-lon-nhat-trung-quoc-4167846.html
2020-09-28 14:32:08,058|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/fan-bts-dua-nhau-mua-co-phieu-ung-ho-than-tuong-4167885.html
2020-09-28 14:32:08,115|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/ong-nguyen-duc-chi-se-roi-ghe-chu-tich-hoi-dong-thanh-vien-scic-4167850.html
2020-09-28 14:32:08,178|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/nu-doc-than-lam-gi-voi-so-von-mot-ty-dong-4167849.html
2020-09-28 14:32:08,209|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/cach-cua-hang-giay-128-tuoi-ton-tai-trong-dai-dich-4167636.html
2020-09-28 14:32:08,296|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/bo-truong-nguyen-manh-hung-muon-so-hoa-ngan-hang-phai-bot-ngai-doi-thu-4167778.html
2020-09-28 14:32:08,343|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/xuat-khau-muc-bach-tuoc-hoi-phuc-o-nhieu-thi-truong-chinh-4167838.html
